Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route,demand_lead_time,Month_Year
2009-05-10,2009-09-16,DE,PRD-6659,Men's Parka,VO,CUST-39938,271.31,EUR,46,R4,21,2009-05
2009-11-01,2009-12-14,FR,PRD-1432,Men's Parka,VO,CUST-94110,216.8,RUB,28,R3,43,2009-11
2010-05-23,2010-10-20,FR,PRD-2088,Winter Coat,VO,CUST-79822,252.87,GBP,48,R1,43,2010-05
2009-02-06,2009-05-14,IT,PRD-3144,Women's Parka,VO,CUST-71789,216.89,GBP,47,R5,29,2009-02
2010-02-25,2011-02-01,ES,PRD-6220,Winter Coat,VO,CUST-48010,449.83,RUB,63,R5,45,2010-02
2011-02-10,2011-05-17,RU,PRD-3337,Kid's Parka,VO,CUST-41384,420.44,GBP,47,R2,84,2011-02
2010-03-20,2010-06-17,RU,PRD-1918,Men's Parka,VO,CUST-20266,424.81,USD,70,R5,89,2010-03
2010-01-18,2010-09-25,DE,PRD-6978,Women's Parka,VO,CUST-33774,131.49,GBP,19,R5,46,2010-01
2010-11-04,2011-05-10,IT,PRD-9997,Kid's Parka,VO,CUST-19756,415.97,EUR,81,R1,58,2010-11
2010-03-08,2011-09-23,ES,PRD-3092,Women's Parka,VO,CUST-53587,359.22,USD,19,R3,67,2010-03
2009-01-15,2009-07-25,FR,PRD-1520,Men's Parka,VO,CUST-88375,126.28,RUB,46,R2,2,2009-01
2010-05-28,2011-03-11,ES,PRD-1978,Winter Coat,VO,CUST-90981,302.1,EUR,91,R1,8,2010-05
2010-02-07,2010-09-02,DE,PRD-1964,Winter Coat,VO,CUST-90986,60.87,RUB,82,R4,5,2010-02
2010-09-17,2011-02-10,IT,PRD-4152,Men's Parka,VO,CUST-93200,330.06,EUR,87,R1,77,2010-09
2009-06-24,2010-10-23,ES,PRD-6473,Women's Parka,VO,CUST-14492,253.01,GBP,49,R1,11,2009-06
2009-01-14,2009-06-06,RU,PRD-8793,Kid's Parka,VO,CUST-10905,433.99,EUR,27,R1,40,2009-01
2009-09-19,2010-10-03,DE,PRD-9497,Winter Coat,VO,CUST-79782,344.9,USD,56,R1,4,2009-09
2009-09-04,2009-11-23,DE,PRD-6274,Winter Coat,VO,CUST-68891,162.75,RUB,44,R4,80,2009-09
2009-07-16,2011-10-21,IT,PRD-4125,Kid's Parka,VO,CUST-32295,260.41,EUR,23,R1,21,2009-07
2009-03-01,2009-10-06,RU,PRD-8237,Men's Parka,VO,CUST-49522,419.31,RUB,42,R5,28,2009-03
