Order_ID,Order_Date,Product_Code,Quantity,Vendor_ID,Country,Requested_Delivery_Date,Lead_Time,Season,Product_Category,Price,Promotion,Weather_Index,Historical_Orders,Delivery_Status
O00001,2009-08-17,P013,20,V079,Spain,2009-11-18,93,Summer,Outdoor Series,390,0,Cold,821,1
O00002,2009-02-21,P012,17,V070,Russia,2009-06-29,128,Winter,Men's Parka,373,0,Cold,301,0
O00003,2010-07-18,P004,36,V074,UK,2010-12-03,138,Summer,Men's Parka,412,1,Cold,652,0
O00004,2010-05-17,P019,37,V027,Spain,2010-09-26,132,Spring,Women's Parka,203,1,Mild,654,0
O00005,2010-04-03,P007,4,V088,Spain,2010-05-28,55,Spring,Women's Parka,361,0,Snow,857,1
O00006,2009-10-13,P019,26,V011,Germany,2010-01-17,96,Fall,Men's Parka,437,1,Mild,380,1
O00007,2009-07-29,P018,7,V080,Russia,2009-11-13,107,Summer,Men's Parka,243,1,Cold,397,1
O00008,2009-06-28,P006,45,V043,Germany,2009-10-15,109,Summer,Children's Parka,268,0,Cold,628,1
O00009,2011-05-15,P018,11,V095,UK,2011-07-28,74,Spring,Men's Parka,249,1,Cold,762,1
O00010,2009-03-07,P001,4,V008,Germany,2009-08-28,174,Spring,Outdoor Series,466,1,Cold,566,0
O00011,2009-03-03,P015,14,V066,France,2009-07-22,141,Spring,Men's Parka,487,0,Cold,577,0
O00012,2009-07-11,P007,17,V087,Germany,2009-10-31,112,Summer,Women's Parka,259,0,Snow,934,1
O00013,2010-03-24,P015,31,V047,Italy,2010-09-18,178,Spring,Outdoor Series,269,1,Snow,701,0
O00014,2010-04-22,P010,41,V007,Spain,2010-06-26,65,Spring,Children's Parka,442,0,Mild,985,1
O00015,2011-11-01,P003,7,V015,Poland,2012-01-21,81,Fall,Women's Parka,453,0,Cold,674,1
O00016,2009-02-24,P014,29,V050,Russia,2009-05-29,94,Winter,Men's Parka,483,1,Mild,554,1
O00017,2010-02-12,P016,48,V047,France,2010-04-17,64,Winter,Women's Parka,482,1,Cold,916,1
O00018,2011-05-10,P005,22,V060,Spain,2011-09-23,136,Spring,Women's Parka,374,0,Snow,982,0
O00019,2010-03-28,P010,17,V080,Poland,2010-09-15,171,Spring,Men's Parka,261,0,Cold,419,0
O00020,2011-07-09,P008,24,V006,Poland,2011-09-28,81,Summer,Women's Parka,216,1,Cold,707,1
O00021,2010-07-24,P009,24,V047,France,2010-11-08,107,Summer,Outdoor Series,362,0,Cold,348,1
O00022,2009-01-14,P005,36,V047,Russia,2009-05-02,108,Winter,Men's Parka,325,1,Mild,962,1
O00023,2009-11-23,P014,36,V023,Germany,2010-01-13,51,Fall,Women's Parka,359,1,Mild,803,1
O00024,2011-05-16,P013,17,V083,UK,2011-08-30,106,Spring,Men's Parka,474,1,Mild,784,1
O00025,2010-11-28,P003,23,V072,France,2011-05-22,175,Fall,Women's Parka,417,0,Mild,302,0
O00026,2010-07-24,P015,2,V091,Germany,2010-12-19,148,Summer,Children's Parka,350,0,Mild,351,0
O00027,2009-11-15,P020,27,V009,France,2010-05-03,169,Fall,Women's Parka,219,1,Cold,591,0
O00028,2010-03-17,P016,8,V072,Germany,2010-06-01,76,Spring,Children's Parka,254,0,Cold,311,1
O00029,2010-11-21,P019,23,V091,Spain,2011-03-27,126,Fall,Children's Parka,228,1,Cold,901,0
